,breed,breed_url,breed_image,breed_group,weight,height,life_expectancy,breed_temperament,pdf_breed_standard,akc_breed_popularity
0,Affenpinscher,https://www.akc.org/dog-breeds/affenpinscher/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25155353/Affenpinscher-at-the-2016-AKC-National-Championship.jpg,Toy Group,7-10 pounds,9-11.5 inches,12-15 years,"['Confident', ' Famously Funny', ' Fearless']",http://images.akc.org/pdf/breeds/standards/Affenpinscher.pdf,Ranks 148 of 195
1,Afghan Hound,https://www.akc.org/dog-breeds/afghan-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04132718/Afghan-Hound.1.jpg,Hound Group,50-60 pounds,25-27 inches,12-18 years,"['Independent', ' Sweet', ' Regal']",http://images.akc.org/pdf/breeds/standards/AfghanHound.pdf,Ranks 113 of 195
2,Airedale Terrier,https://www.akc.org/dog-breeds/airedale-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04132402/Airedale-Terrier.Care_.jpg,Terrier Group,50-70 pounds,23 inches,11-14 years,"['Friendly', ' Clever', ' Courageous']",http://images.akc.org/pdf/breeds/standards/AiredaleTerrier.pdf,Ranks 60 of 195
3,Akita,https://www.akc.org/dog-breeds/akita/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17180101/Akita-sitting.jpg,Working Group,"100-130 pounds (male), 70-100 pounds (female)","26-28 inches (male), 24-26 inches (female)",10-13 years,"['Courageous', ' Dignified', ' Profoundly Loyal']",http://images.akc.org/pdf/breeds/standards/Akita.pdf,Ranks 47 of 195
4,Alaskan Malamute,https://www.akc.org/dog-breeds/alaskan-malamute/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04151259/Alaskan-Malamute.jpg,Working Group,"85 pounds (male), 75 pounds (female)","25 inches (male), 23 inches (female)",10-14 years,"['Affectionate', ' Loyal', ' Playful']",http://images.akc.org/pdf/breeds/standards/AlaskanMalamute.pdf,Ranks 58 of 195
5,American Bulldog,https://www.akc.org/dog-breeds/american-bulldog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/01/14144524/American-Bulldog-standing-outdoors.jpg,Foundation Stock Service,75-100 pounds (males); 60-80 pounds (females),22-25 inches (males); 20-23 inches (females),10-12 years,"['Loyal', ' Self-Confident']",,
6,American English Coonhound,https://www.akc.org/dog-breeds/american-english-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30172505/AEC-head-portrait.jpg,Hound Group,45-65 pounds,"24-26 inches (male), 23-25 inches (female)",11-12 years,"['Sweet', ' Mellow', ' Sociable']",http://images.akc.org/pdf/breeds/standards/AmericanEnglishCoonhound.pdf,Ranks 175 of 195
7,American Eskimo Dog,https://www.akc.org/dog-breeds/american-eskimo-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30181720/American-Eskimo-Dog.jpg,Non-Sporting Group,"6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)","9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)",13-15 years,"['Playful', ' Perky', ' Smart']",http://images.akc.org/pdf/breeds/standards/AmericanEskimoDog.pdf,Ranks 122 of 195
8,American Foxhound,https://www.akc.org/dog-breeds/american-foxhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05140418/American-Foxhound.jpg,Hound Group,"65-70 pounds (male), 60-65 pounds (female)","22-25 inches (male), 21-24 inches (female)",11-13 years,"['Independent', ' Easy-Going', ' Sweet-Tempered']",http://images.akc.org/pdf/breeds/standards/AmericanFoxhound.pdf,Ranks 186 of 195
9,American Hairless Terrier,https://www.akc.org/dog-breeds/american-hairless-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001621/American-Hairless-Terrier-Care.jpg,Terrier Group,12-16 pounds,12-16 inches,14-16 years,"['Energetic', ' Alert', ' Curious']",http://images.akc.org/pdf/breeds/standards/AmericanHairlessTerrier.pdf,Ranks 136 of 195
